title,year,country,director,genre,imdb_id
34-й скорый,1981,СССР,Андрей Малюков,"Фильм-катастрофа, приключенческий фильм, драма",tt0081967
33 (фильм),2015,"США, Чили, Колумбия",Патрисия Ригген,драма,tt2006295
38-я параллель (фильм),2004,Республика Корея,Кан Джегю,"драма, боевик, военный",tt0386064
36 безумных кулаков,1977,Гонконг,Чэнь Чжихуа,"боевик, комедия",tt0076661
Аватар: Пламя и пепел,2025,США,Джеймс Кэмерон,"эпический фильм, научная фантастика, приключенческий боевик",tt1757678
"Аватар, или Замена душ",1964,Польша,Януш Маевский,"фантастика, драма",tt0932937
Актриса (фильм),1942,СССР,Леонид Трауберг,"мелодрама, комедия, военный фильм",tt0035620
Активная зона (фильм),1979,СССР,Леонид Пчёлкин,драма,tt0078745
"Американская трагедия (фильм, 1931)",1931,США,Джозеф фон Штернберг,драма,tt0021607
Американская сказка,2008,США,Дэвид Цукер,"фэнтези, комедия",tt1190617
Американская рапсодия,2001,"США, Венгрия",Эва Гардос,"биографический фильм, фильм о взрослении, драма",tt0221799
Американская пастораль,2016,США,Юэн Макгрегор,"драма,, криминал",tt0376479
Анна Бонд,2012,Индия,Дуния Сури,"боевик, мелодрама, драма",tt2146950
"Анна (фильм, 2019)",2019,Франция,Люк Бессон,"боевик, триллер, шпионский фильм",tt7456310
Артём (фильм),1978,СССР,"Николай Кошелев,, Валентин Морозов","историко-революционный, фильм-биография, драма",tt4895692
Артек. Сквозь столетия,2025,Россия,"Карен Захаров, Армен Ананикян","комедия, приключения, фантастика",tt23752846
Баария,2009,"Франция, Италия",Джузеппе Торнаторе,"драма, комедия",tt1081935
Ба-бах,2010,"США, Франция",Грегг Араки,"комедия, фантастика",tt1523483
Барабан (фильм),2004,"США, ЮАР",Зола Масеко,драма,tt0379765
Бар-закусочная «Будапешт»,1988,Италия,Тинто Брасс,драма,tt0096125
Без дураков,1994,США,Роберт Бентон,комедийная драма,tt0110684
Без дочери — никогда,1991,США,Брайан Гилберт,драма,tt0102555
Безымянный фильм Мартина Скорсезе,Нет данных,Нет данных,Мартин Скорсезе,"Биографический фильм, криминальная драма, триллер, гангстерский фильм",N/A
"Безымянные герои (фильм, 1971)",1971,Гонконг,Чжан Чэ,"боевик, комедия",tt0067997
Берег в тумане,1941,США,Анатоль Литвак,Фильм нуар,tt0033987
Берег (фильм),1983,"Западный Берлин, СССР, ФРГ","Александр Алов, Владимир Наумов",мелодрама,tt0086951
Билли Мэдисон,1995,США,Тамра Дэвис,комедия,tt0112508
Билли Батгейт,1991,США,Роберт Бентон,"гангстерский фильм, криминальный фильм, боевик, драма",tt0101453
Блюз ночью,1941,США,Анатоль Литвак,"Музыкальный фильм, Фильм нуар, Мелодрама",tt0033409
"Блюз малышки (фильм, 2008)",2008,США,"Ларс Е. Джейкобсон, Амардип Калека","фильм ужасов, триллер, криминальный фильм",tt0972359
Большая двадцатка (фильм),2025,США,Патрисия Ригген,"боевик, фильм-триллер",tt23476986
Большая гонка. Лянча против Ауди,2024,"Италия, Великобритания",Стефано Мордини,исторический фильм,tt20112600
Борьба за справедливость,Нет данных,США,Джеймс Кич,драма,tt0110790
Борьба за свободу,1908,США,Дэвид Уорк Гриффит,вестерн,tt0228299
Бродячие псы,2013,"Китайская Республика, Франция",Цай Минлян,драма,tt3119416
Бродячие ангелы,1980,США,Алан Смити,мелодрама,tt0109966
Быстро и без боли,1998,Германия,Фатих Акин,"драма, криминальный фильм, мелодрама",tt0162426
Быстрейшая гитара из всех живущих,1967,США,Майкл Д. Мур,"вестерн, музыкальный фильм",tt0061652
В одну-единственную жизнь,1986,СССР,Игорь Апасян,драма,tt0267075
В одну сторону,2006,"Германия, Канада",Рето Салимбени,"криминальная драма,, психилогический, триллер",tt0484382
В. Давыдов и Голиаф,1985,СССР,Геннадий Байсак,комедия,tt0265968
В ясный день увидишь вечность,1970,США,Винсент Миннелли,"комедия, мюзикл",tt0066181
Ведьмина служба доставки (фильм),2014,Япония,Такаси Симидзу,экранизация романа,tt2865558
Ведьмина доска,2024,США,Чак Рассел,фильм ужасов о сверхъестественном,tt2256055
"Вероятно, дьявол",1977,Франция,Робер Брессон,драма,tt0075938
Вероника решает умереть (фильм),2009,США,Эмили Янг,Драма,tt1068678
Вздёрни их повыше,1968,США,Тед Пост,вестерн,tt0061747
Взгляды. Феноменология,2002,Россия,Дмитрий Сидоров,документальное кино,tt3848884
Владимир Ильич Ленин (фильм),1949,СССР,"Михаил Ромм, Василий Беляев",фильм-биография,tt0042671
"Владивосток, год 1918",1982,СССР,Эдуард Гаврилов,"военный, исторический",tt0240181
Военный фотограф,2001,Швейцария,Кристиан Фрей,документальный фильм,tt0309061
Военный трибунал по делу о мятеже на «Кейне» (2023),2023,США,Уильям Фридкин,"драматический фильм, военный фильм, процессуальная драма",tt24249946
"Война (фильм, 2007)",2007,США,Филлип Дж. Этвелл,боевик,tt0499556
"Война (фильм, 2002)",2002,Россия,Алексей Балабанов,"военно, драматический, боевик, русский рок",tt0309047
"Воробей (фильм, 2010)",2010,Россия,Юрий Шиллер,драма,tt1782562
"Воробей (фильм, 1993)",1993,"Италия, Япония",Франко Дзеффирелли,драма,tt0108226
"Враги (фильм, 2007)",2007,"Россия, Беларусь",Мария Можар,"военный фильм, драма",tt1286863
"Враги (фильм, 2006)",Нет данных,"США, Канада",Пол Зиллер,"фантастика, триллер",tt0470023
Всё по новой,2016,США,Стивен Брилл,"Кинокомедия, Боевик",tt4769836
Все по домам,1960,"Италия, Франция",Луиджи Коменчини,"военная, драма, комедия",tt0054413
Вход к тигру,1996,Гонконг,Шу Кэй,комедия-драма,tt0116576
Вход и выход,1997,США,Фрэнк Оз,Комедия,tt0119360
"Гавана, я люблю тебя",2012,"Испания, Франция","Бенисио Дель Торо, Пабло Траперо, Элиа Сулейман, Хулио Медем, Гаспар Ноэ, Хуан Карлос Табио, Лоран Канте",драма,tt1797348
Гавана (фильм),1990,США,Сидни Поллак,драма,tt0099747
"Гедда (фильм, 2025)",2025,США,Ниа Дакоста,"драма, ЛГБТ-фильм",tt27953589
Где-то там,2001,Австрия,Николаус Гейрхалтер,документальный фильм,tt0306768
Гитлер: Карьера,1977,ФРГ,"Иоахим Фест, Кристиан Херрендёрфер",документальный фильм,tt0191182
Гитлер: Восхождение дьявола,2003,Канада,Кристиан Дюгей,"фильм-биография, драма",tt0346293
Гол в Спасские ворота,1990,СССР,Павел Любимов,"драма, спортивный",tt0353501
Гол 2: Жизнь как мечта,2007,Великобритания,Жауме Кольет-Серра,"драма, спортивный фильм",tt0473360
